Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
MOCS1	-0.827476481562013	0.000152365757227325	0.0346487676593457	-0.768866031246039	0.000151157750766429	0.0127019012430501	0.0586104503159749	0.736920546963143	0.98311267769293	-0.299526746931219	0.0188472353174581	0.511845961509084	-0.294310227771267	0.0291533989955111	0.25779934254602	0.0052165191599517	0.967637366472287	0.999858517549214
MOXD1	1.46338601124308	5.0403184862018e-05	0.0241948680485417	2.00955575450161	1.19428071871633e-07	0.000563262596303911	0.546169743258535	0.0564488370296012	0.900510176017247	0.611409377074816	0.0144525288713671	0.467767418467358	1.1456796829215	2.40893882303212e-05	0.00672471804382515	0.534270305846685	0.0304237234612775	0.997759514906541
MPL	-0.031837075308012	0.858509788258541	0.961731614338384	-0.569855931381335	0.00194711741577936	0.0454352348426635	-0.538018856073323	0.00326693111826504	0.651039554821578	0.0264322462913997	0.862307181276785	0.997365210116601	-0.289325434912451	0.0775020144752518	0.412176384043392	-0.31575768120385	0.0491123417703822	0.999858517549214
MPP1	0.794364591791572	0.00088662495780278	0.0778224471352607	0.623499999605121	0.00327806780523359	0.0590845622627389	-0.170864592186452	0.389208461571159	0.963195811776739	0.331708941407937	0.0104940284603848	0.430557588445242	0.359996591362085	0.00837259144846794	0.135223010054181	0.028287649954148	0.826832316685423	0.999858517549214
MS4A1	1.98073144680806	0.00142489468917449	0.091402581406595	1.67914727807385	0.0038802570334977	0.0648444862673787	-0.301584168734215	0.523906587672454	0.973272449974263	1.01606756480384	0.00419070785601608	0.337883647900256	0.946937163779699	0.0102025950211051	0.147616204588895	-0.0691304010241416	0.838511730154945	0.999858517549214
MS4A6E	4.09445426813868	0.000222866108931486	0.0420444343369545	3.32283715474112	0.000733251164974589	0.0266703617820706	-0.771617113397554	0.289072737739418	0.962939555184773	2.11116967212906	0.000361700473551823	0.150600611390219	0.902477278265851	0.13160406470042	0.518584851685548	-1.20869239386321	0.0327273771552614	0.999858517549214
MSC	0.613092086444108	0.101432157714512	0.519234297938724	1.25217771270977	0.00126034877599251	0.0368153014343445	0.639085626265661	0.0622663055893927	0.900510176017247	0.483814987691617	0.0160715727047695	0.480455075100187	0.734869888731141	0.000662706526962606	0.0398099275289731	0.251054901039524	0.212030642695719	0.999858517549214
MSR1	2.14023814456092	0.00230883452003467	0.115598976513712	1.84616489972494	0.00259960527060782	0.0533607676040914	-0.29407324483598	0.583148370654278	0.976169718570582	0.773123833285155	0.0760909552288245	0.761833869156724	0.837996155544517	0.0664706923452236	0.383896958404277	0.0648723222593618	0.881677810429531	0.999858517549214
MTCL1	0.41027539268427	0.148001416511945	0.586695216040357	0.838898237080807	0.00216476245936527	0.0485407670959734	0.428622844396537	0.102847651722758	0.923598043043093	0.270799957038061	0.179676969852347	0.917157446568464	0.458069507124199	0.0313623156823315	0.269466076263943	0.187269550086137	0.357609701633764	0.999858517549214
MTHFD1	-0.439524203551107	0.0127433114367998	0.242098810845264	-0.748668257651872	4.15131618836841e-05	0.00707674370472585	-0.309144054100766	0.0478007926202814	0.888192877389982	-0.271738311511643	0.0307796021122367	0.585059005703489	-0.365097603587002	0.00678431762125059	0.122109140295505	-0.093359292075359	0.464638628290093	0.999858517549214
